NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTVP 3072,,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BEND.PENGELUARAN DISDUKCAPIL KAB.PPU,R,HONDA,GL 15 A1 RR MT,2013,MH1KC3118DK290274,KC31E1289094,9/18/2026,9/18/2028,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3073,,PENGELOLA (BKAD),BEND.PENGELUARAN DISDUKCAPIL KAB.PPU,R,HONDA,GL 15 A1 RR M/T,2013,MH1KC3115DK289969,KC31E-1288674,9/18/2025,9/18/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3074,,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BEND.PENGELUARAN DISDUKCAPIL KAB.PPU,R,HONDA,GL 15 A1 RR M/T,2013,MH1KC3118DK290159,KC31E-1288936,9/18/2026,9/18/2028,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3075,,KETAHANAN PANGAN,KANTOR KET.PANGAN & PENYULUHAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK115465,55S-115481,9/18/2026,9/18/2028,KETAHANAN PANGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3076,,KETAHANAN PANGAN,KANTOR KET.PANGAN & PENYULUHAN,R,YAMAHA,1 PA,2013,MH31PA002DK170760,1PA169955,9/18/2026,9/18/2028,KETAHANAN PANGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3078,,KELURAHAN PEMALUAN,KELURAHAN PEMALUAN,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK629259,50C-629660,9/25/2026,9/25/2028,KELURAHAN PEMALUAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3081,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH,R,YAMAHA,1 LB,2013,MH31LB001DK054123,1LB-054130,10/3/2026,10/3/2028,SEKRETARIAT DAERAH,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3086,,KELURAHAN GERSIK,BEND.PENGELUARAN KANTOR KELURAHAN GERSIK,R,HONDA,NF11B2D1,2013,MH1JBE116DK612646,JBE1E-1601523,10/8/2026,10/8/2028,KELURAHAN GERSIK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3087,,PENGELOLA (BKAD),BEND.PENGELUARAN KANTOR KELURAHAN GERSIK,R,HONDA,NF125 TR,2013,MH1JB9138DK311501,JB91E-3296657,10/8/2025,10/8/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3089,,KELURAHAN SOTEK,KANTOR KELURAHAN SOTEK,R,YAMAHA,50C (T135HC) M/T,2013,MH350C004DK652002,50C-651774,10/22/2026,10/22/2028,KELURAHAN SOTEK,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8172, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,F,TOYOTA,HILUX 2.4E DC 4X4 MT (GUN125R-DTFLXD),2024,MR0DB8CD0R0195721,2GD-D431698,12/13/2025,12/13/2029,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 3094,,KELURAHAN JENEBORA,KELURAHAN JENEBORA,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK630848,50C-629997,11/1/2026,11/1/2028,KELURAHAN JENEBORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3096,,KELURAHAN WARU,KANTOR LURAH WARU,R,SUZUKI,FW 110 SCD,2013,MH8BE4DUADJ346014,E470-ID803549,11/7/2026,11/7/2028,KELURAHAN WARU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3097,,KECAMATAN PENAJAM,KANTOR KECAMATAN PENAJAM,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP81157,LX150CEPC3754,11/19/2026,11/19/2028,KECAMATAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3099,,DINAS KEBUDAYAAN DAN PARIWISATA,DINAS KEHUTANAN DAN PERKEBUNAN,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK653208,50C-653310,11/20/2026,11/20/2028,DINAS KEBUDAYAAN DAN PARIWISATA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3104,,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK124282,55S-124293,12/11/2026,12/11/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3105,,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK124371,55S-124315,12/11/2026,12/11/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3106,,PENGELOLA (BKAD),DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK124288,55S-124387,12/11/2024,12/11/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3107,,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK125228,55S-125228,12/11/2026,12/11/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3108,,PENGELOLA (BKAD),DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK126893,55S-126891,12/11/2026,12/11/2028,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3109,,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK126822,55S-126818,12/11/2026,12/11/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3110,,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MG355S004DK127868,55S-127869,12/11/2026,12/11/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3112,,PENGELOLA (BKAD),DINAS KESEHATAN,R,YAMAHA,55S (T135SEC),2013,MH355S004DK125271,55S-125266,12/11/2026,12/11/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3114,,KELURAHAN PEMALUAN,KELURAHAN PEMALUAN,R,YAMAHA,2BJ,2013,MH32BJ001DJ264635,2BJ-264746,12/2/2026,12/2/2028,KELURAHAN PEMALUAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3115,,DINAS LINGKUNGAN HIDUP,KANTOR LINGKUNGAN HIDUP,R,YAMAHA,50C (T135HC) M/T,2013,MH350C004DK654578,50C-654734,12/2/2026,12/2/2028,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3117,,DINAS LINGKUNGAN HIDUP,KANTOR LINGKUNGAN HIDUP,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK661594,50C-661716,12/4/2026,12/4/2028,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3118,,DINAS LINGKUNGAN HIDUP,KANTOR LINGKUNGAN HIDUP,R,YAMAHA,1 LB,2013,MH31LB001DK067457,1LB-067478,12/4/2026,12/4/2028,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3119,,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KEBUDAYAAN DAN PARIWIS,R,YAMAHA,1 PA,2013,MH31PA002DK058321,1PA-057616,12/4/2026,12/4/2028,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3120,,DINAS PERHUBUNGAN,DINAS PERHUBUNGAN KEBUDAYAAN DAN PARIWIS,R,YAMAHA,1 KP A/T,2013,MH31KP00BDJ622822,1KP-623061,12/4/2026,12/4/2028,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3122,,BADAN KEUANGAN DAN ASET DAERAH,DINAS PENDAPATAN DAERAH,R,YAMAHA,1 KP AT,2013,MH31KP00CDJ601949,1KP-601970,12/4/2026,12/4/2028,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3124,,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH,R,YAMAHA,1 KP AT,2013,MH31KP00CDJ591698,1KP-591715,12/4/2026,12/4/2028,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3125,,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH,R,YAMAHA,1 KP AT,2013,MH31KP00CDJ591705,1KP-591670,12/4/2026,12/4/2028,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3129,,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH PPU,R,HONDA,NC110A1C AT,2013,MH1JF8116DK895202,JF81E-1889173,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3130,,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH PPU,R,HONDA,NC110A1C AT,2013,MH1JF8115DK895109,JF81E-1889068,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3134,,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH PPU,R,HONDA,NC110A1C AT,2013,MH1JF8116DK908319,JF81E-1902260,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3135,,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH PPU,R,HONDA,NC110A1C AT,2013,MH1JF8114DK908464,JF81E-1902230,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3137,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C AT,2013,MH1JF8112DK892152,JF81E-1886087,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3138,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C AT,2013,MH1JF8112DK892166,JF81E-1886010,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3139,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8112DK892684,JF81E-1886664,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3140,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8111DK910205,JF81E-01904123,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3141,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8119DK910193,JF81E-1904120,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3142,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C AT,2013,MH1JF8115DK886037,JF81E-1879953,12/10/2026,12/10/2028,RSUD,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3143,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C AT,2013,MH1JF8114DK887471,JF81E-1881562,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3144,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8111DK908342,JF81E-1902218,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3145,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8116DK908532,JF81E-1902504,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3146,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF811XDK907643,JF81E-1902212,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3147,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8111DK910026,JF81E-1903912,12/10/2026,12/10/2028,RSUD,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3148,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C A/T,2013,MH1JF8117DK910032,JF81E-1903916,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3149,,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,R,HONDA,NC110A1C AT,2013,MH1JF8112DK794058,JF81E-1788293,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8173, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,F,TOYOTA,HILUX 2.4E DC 4X4 MT (GUN125R-DTFLXD),2024,MR0DB8CD3R0195695,2GD-D429073,12/13/2025,12/13/2029,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 3153,,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BADAN PERENCANAAN PEMBANGUNAN DAERAH,R,YAMAHA,1 KP A/T,2013,MH31KP00BDJ607983,1KP-607900,12/11/2026,12/11/2028,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3154,,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BADAN PERENCANAAN PEMBANGUNAN DAERAH,R,YAMAHA,1 KP AT,2013,MH31KP00BDJ583260,1KP-583277,12/11/2026,12/11/2028,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3155,,KELURAHAN MENTAWIR,KELURAHAN MENTAWIR,R,YAMAHA,50C (T135HC) MT,2013,MH350C004DK677680,50C-677878,12/11/2025,12/11/2028,KELURAHAN MENTAWIR,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 8530, ,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,DINAS PENANGGULANGAN KEBAKARAN DAN PENYE,G,HINO,WU342R-HKMQHD8 (110LD),2019,MJEC1JG41K5183187,W04DTPJ82552,11/7/2025,11/7/2029,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3158,,KECAMATAN BABULU,KECAMATAN BABULU,R,YAMAHA,1 PA,2013,MH31PA002DK354972,1PA-356147,12/13/2026,12/13/2028,KECAMATAN BABULU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3159,,KECAMATAN BABULU,KECAMATAN BABULU,R,YAMAHA,1 DY,2013,MH31DY005DJ197587,1DY-197610,12/13/2026,12/13/2028,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3161,,KECAMATAN BABULU,KECAMATAN BABULU,R,YAMAHA,1 DY,2013,MH31DY005DJ207845,1DY-207866,12/13/2026,12/13/2028,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 8533,,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,KANTOR KESBANGPOL,G,HINO,FG8JJKB-GGJ (FG235JJ),2013,MJEFG8JJKDJG16385,J08EUGJ-39622,11/29/2025,11/29/2028,DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2705, ,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",KANTOR DINAS PENDIDIKAN PEMUDA DAN OLAHR,R,VIAR,V 30 R M/T,2023,MGRVR30TAPL300916,YX300FMG23300607,11/18/2025,11/18/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV- 4372,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",PEMKAB PPU,R,HONDA,NF100 SL,2006,MHIHB31186K177831,HB31E - 1179074,1/24/2021,1/24/2022,DISDIKPORA,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 3165,,KELURAHAN SESUMPU,KELURAHAN SESUMPU,R,YAMAHA,5D9 (VEGA ZR),2013,MH35D9206DJ884411,5D9-1884399,12/16/2026,12/16/2028,KELURAHAN SESUMPU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1377,KTV- 1143,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",PEMKAB PPU,C,DAIHATSU,F 601 RV-GMDFJJ (XENIA VVTI-13,2009,MHKV1BA2J9K042085,DE48049,10/21/2025,10/21/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3167,,KELURAHAN TANJUNG TENGAH,KELURAHAN TANJUNG TENGAH,R,YAMAHA,1FD,2013,MH31FD001DJ035216,1FD-035223,12/16/2026,12/16/2028,KELURAHAN TANJUNG TENGAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3169,,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,1 KP A/T,2013,M31KP003DK631261,1KP-631329,12/16/2026,12/16/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3170,,BADAN KEUANGAN DAN ASET DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,50C (T135HC) M/T,2013,MH350C004DK679618,50C-679848,12/16/2026,12/16/2028,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3171,,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,1 KP AT,2013,MH31KP00CDJ587178,1KP-587195,12/16/2026,12/16/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3172,,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,1 KP AT,2013,MH31KP00CDJ592871,1KP-592894,12/16/2026,12/16/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3173,,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,45P (BYSON),2013,MH345P004DK251953,45P-262010,12/16/2026,12/16/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3174,,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,R,YAMAHA,45P (BYSON),2013,MH345P004DK255152,45P-265228,12/16/2026,12/16/2028,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3175,,PENGELOLA (BKAD),SEKRETARIAT DAERAH,R,YAMAHA,50C (T135HC) M/T,2013,MH350C004DK665800,50C-665839,12/16/2025,12/16/2028,PENGELOLA,Pinjam Pakai,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3176,,DINAS PERTANIAN,DP3K,R,YAMAHA,1 PA,2013,MH31PA002DK357897,1PA-358092,12/18/2026,12/18/2028,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3177,,DINAS PERTANIAN,DP3K,R,YAMAHA,1 PA,2013,MH31PA002DK354927,1PA-355432,12/18/2026,12/18/2028,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3178,,DINAS PERTANIAN,DP3K,R,YAMAHA,1 PA,2013,MH31PA002DK350640,1PA-350780,12/18/2026,12/18/2028,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3179,,DINAS PERHUBUNGAN,DISHUBBUDPAR,R,YAMAHA,2 BU AT,2013,MH32BU001DJ059221,2BU-059228,12/23/2026,12/23/2028,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 1478,KTV  1258,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA KAB,C,TOYOTA,NEW AVANZA 1.3G MT,2012,MHKM1BA3JCK048720,DK73464,5/23/2025,5/23/2027,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3181,,KELURAHAN LAWE-LAWE,KELURAHAN LAWE-LAWE,R,YAMAHA,1 KP A/T,2013,MH31KP00CDJ601932,1KP-601951,12/23/2026,12/23/2028,KELURAHAN LAWE-LAWE,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3182,,KELURAHAN PETUNG,KANTOR KELURAHAN PETUNG,R,YAMAHA,1UB A/T,2013,MH31UB004DJ111618,1UB-111565,12/28/2026,12/28/2028,KELURAHAN PETUNG,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3192,,KELURAHAN KAMPUNG BARU,KELURAHAN KAMPUNG BARU,R,YAMAHA,1FD,2013,MH31FD004DJ033617,1FD-033622,12/30/2026,12/30/2028,KELURAHAN KAMPUNG BARU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3194,,KELURAHAN MARIDAN,KELURAHAN MARIDAN,R,YAMAHA,1FD,2013,MH31FD004DJ036439,1FD-036430,1/2/2027,1/2/2029,KELURAHAN MARIDAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3202,,DINAS PERTANIAN,DINAS KEHUTANAN DAN PERKEBUNAN KAB.PPU,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP91464,LX150CEPE0106,1/28/2027,1/28/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3203,,DINAS PERTANIAN,DINAS KEHUTANAN DAN PERKEBUNAN KAB.PPU,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP91489,LX150CEPD7550,1/28/2027,1/28/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3204,,DINAS PERTANIAN,DINAS KEHUTANAN DAN PERKEBUNAN KAB.PPU,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP92370,LX150CEPD8892,1/28/2027,1/28/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3213,,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,R,YAMAHA,1 KP AT,2014,MH31KP003EK700633,1KP-700568,3/19/2027,3/19/2029,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3218,,PENGELOLA (BKAD),DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,R,YAMAHA,1 KP AT,2014,MH31KP003EK692692,1KP-692663,4/14/2025,4/14/2029,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3220,,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DKPP BIDANG PERTAMANAN DAN PEMAKAMAN PPU,R,YAMAHA,1 KP A/T,2014,MH31KP00CEJ714465,1KP-714518,4/17/2027,4/17/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3221,,DINAS LINGKUNGAN HIDUP,DKPP BIDANG PERTAMANAN DAN PEMAKAMAN PPU,R,YAMAHA,45P (BYSON),2013,MH345P004DK258503,45P-268536,4/17/2027,4/17/2029,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3225,,KECAMATAN SEPAKU,KANTOR KECAMATAN SEPAKU,R,YAMAHA,50C (T135HC) MT,2014,MH350C006EK745318,50C-745729,4/25/2026,4/25/2029,KECAMATAN SEPAKU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3226,,KECAMATAN SEPAKU,KANTOR KECAMATAN SEPAKU,R,YAMAHA,50C (T135HC) MT,2014,MH350C006EK735547,50C-735566,4/25/2026,4/25/2029,KECAMATAN SEPAKU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3228,,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB.PPU,R,YAMAHA,1 PA,2014,MH31PA004EK485818,1PA-486024,4/30/2027,4/30/2029,SEKRETARIAT DAERAH,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3247,,KELURAHAN PEMALUAN,KANTOR KELURAHAN PEMALUAN,R,YAMAHA,1FD,2014,MH31FD001EJ056473,1FD-056481,5/26/2027,5/26/2029,KELURAHAN PEMALUAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3262,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA KAB.PPU,R,HONDA,NF12A1CF MT,2014,MH1JBG114EK161102,JBG1E-1160846,7/11/2026,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3263,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,HONDA,NF12A1CF M/T,2014,MH1JBG117EK164396,JBG1E-1164074,7/11/2026,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3266,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,HONDA,NF12A1CF MT,2014,MH1JBG110EK169035,JBG1E-1168793,7/11/2026,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3270,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,HONDA,NF12A1CF MT,2014,MH1JBG111EK170159,JBG1E-1169797,7/11/2026,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTVP 3273,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,HONDA,NF12A1CF M/T,2014,MH1JBG111EK170176,JBG1E-1169740,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3274,,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAHRAGA PPU,R,HONDA,GL15B1DF M/T,2014,MH1KC5113EK024643,KC51E-1024819,7/11/2026,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
